Affiliation,total_registrations,no_of_accounts_created,no_of_accounts_needed
KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY FOR WOMEN'S,2,1,1
TOCE,1,0,1
VIGNAN'S INSTITUTE OF INFORMATION AND TECHNOLOGY,1,0,1
"SRM UNIVERSITY , KTR, CHENNAI",1,1,0
"MAULANA AZAD NATIONAL INSTITUTE OF TECHNOLOGY, BHOPAL",2,1,1
"AMRITA VISHWA VIDYAPEETHAM, AMARAVATI",1,0,1
KAKINADA INSTITUTIONS OF ENGINEERING AND TECHNOLOGY FOR WOMEN,2,1,1
KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLGY,2,1,1
(KIET) KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY,1,0,1
GITAM DEEMED TO BE UNIVERSITY,1,1,0
AJEENKYA DY PATIL UNIVERSITY LOHEGAON PUNE,1,1,0
VIGNAN'S INSTITUTE OF INFORMATION,1,1,0
BVRIT HYDERABAD COLLEGE OF ENGINEERING FOR WOMEN,1,1,0
KAKINADA INSTITUTE OF ENGINEERING TECHNOLOGY,2,0,2
PESITM,1,1,0
VNR VIGNANA JYOTHI INSTITUE OF ENGINEERING AND TECHNOLOGY,1,0,1
SVSE - SVS GRP OF INSTNS - SVS INST OF TECH,14,0,14
NATIONAL INSTITUTE OF TECHNOLOGY UTTARAKHAND,1,1,0
DWARKADAS J SANGHVI COLLEGE OF ENGINEERING,1,1,0
SVKM'S DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,1,1,0
KAKINADA INSTITUE OF ENGNEERING AND TECHONOLOGY,1,1,0
KKR & KSR INSTITUTE OF TECHNOLOGY AND SCIENCE,1,1,0
G.PULLAIAH COLLEGE OF ENGINEERING AND TECHNOLOGY,1,0,1
"VNR VIGNANA JYOTHI INSTITUTE OF ENGINEERING & TECHNOLOGY, TELANGANA",1,1,0
KIEW- KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY FOR WOMENS,1,0,1
RAMAIAH UNIVERSITY OF APPLIED SCIENCES,1,1,0
"RAGIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGIES,R K VALLEY",1,0,1
AUDISANKARA ENGINEERING COLLEGE,1,0,1
RGUKT(IIIT),1,1,0
RV INSTITUTE OF TECHNOLOGY AND MANAGEMENT,1,0,1
AVANTHI DEGREE COLLEGE,1,0,1
BVRIT HYDERABAD ENGINEERING FOR WOMEN,1,0,1
SR&BGNR COLLEGE,1,0,1
G. PULLAIAH COLLEGE OF ENGINEERING AND TECHNOLOGY,1,0,1
ANIL NEERUKONDA INSTITUE OF TECHNOLOGY AND SCIENCES,1,1,0
KAKINADA INSTITUTION OF ENGINEERING AND TECHNOLOGY FOR WOMENS,1,0,1
SRM UNIVERSITY OF SCIENCE AND TECHNOLOGY,1,1,0
NISHITHA DEGREE COLLEGE,17,5,12
"ANNAMACHARYA PG COLLEGE OF COMPUTER STUDIES, RAJAMPET",1,0,1
"INDIAN INSTITUTE OF TECHNOLOGY,PATNA",1,0,1
VELAGAPUDI RAMAKRISHNA SIDDARDHA ENGINEERING COLLEGE,1,1,0
MADANPALLE INSTITUTE OF TECHNOLOGY AND SCIENCE,1,0,1
HINDUSTHAN COLLEGE OF ENGINEERING AND TECHNOLOGY,1,1,0
SRI INDUU INSTITUTE OF ENGINEERING & TECHNOLOGY,1,1,0
ST JOSEPH DEGREE COLLEGE,1,0,1
MADANAPALLE,1,0,1
"INDIAN INSTITUTE OF TECHNOLOGY, PATNA",1,1,0
RK DEGREE AND PG COLLEGE,1,0,1
NISHITHA DEGREE COLLEGE(AUTONOMOUS),1,0,1
VGSE - VAAGESHWARI COLL OF ENGINEERING,30,11,19
GAYATRI VIDYA PARISHAD OF ENGINEERING,1,0,1
"SIDDHARTHA INSTITUTE OF SCIENCE AND TECHNOLOGY, PUTTUR",1,0,1
BBCIT - BANKATLAL BADRUKA COLLEGE FOR INFORMATION TECHNOLOGY,1,1,0
SR INTERNATIONAL INSTITUTE OF TECHNOLOGY,1,0,1
KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY 2,1,0,1
KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY-WOMENS,1,0,1
KAKINADA INSITUTE OF ENGINEERING AND TECHNOLOGY,2,0,2
TENALI ENGINEERING COLLEGE,1,0,1
MALILENI LAKSHMAIAH WOMEN'S ENGINEERING COLLEGE,1,1,0
"LOVELY PROFESSIONAL UNIVERSITY ,PUNJAB",1,0,1
V R SIDDHARDHA ENGINEERING COLLEGE,1,0,1
KAKINADA INSTITUTION OF ENGINEERS AND TECHNOLOGY,1,0,1
VELAGAPUDI RAMKRISHNA SIDDHARTHA ENGINEERING COLLEGE AND MY QS,1,0,1
INDIAN INSTITUTE OF TECHNOLOGY MADRAS,2,1,1
RAJEEV GANDI MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY,1,1,0
KAKINADA INSTITUTE OF ENGINNERING AND TECHNOLOGY,1,0,1
RAJEEV GANDHI MEMORIAL COLLEGE OF ENGINNERING AND TECHNOLOGY,1,1,0
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES, IIIT RK VALLEY",1,1,0
RGM-RAJEEV GANDHI MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY,1,1,0
KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY -II,1,1,0
AERONAUTICAL ENGINEERING COLLEGE,1,0,1
SNIST,2,1,1
ALPHORES DEGREE COLLEGE,1,0,1
ALPHORES WOMEN'S DEGREE AND PG COLLEGE,2,1,1
ALPHORES WOMEN'S DEGREE &PG COLLEGE,1,1,0
ST MARTINS ENGINEERING COLLEGE,1,1,0
ALPHORES WOMAN AND PG COLLEGE KARIMNAGAR,1,0,1
ANU,1,0,1
DARE - DARIPALLY ANANTHA RAMULU COLLOF ENGGAND TECH,2,0,2
ALPHORES WOMEN'S DEGREE COLLEGE,1,0,1
ST MARTIN'S ENGINEERING COLLEGE,1,1,0
ST.MARTINS ENGINEERING COLLEGE,1,0,1
AKSHAYA WOMEN'S DEGREE COLLEGE,2,0,2
N.B.K.R INSTITUTE OF SCIENCE AND TECHNOLOGY,1,0,1
DR B R AMBEDKAR INSTITUTE OF MANAGEMENT AND TECHNOLOGY,1,1,0
NATIONAL INSTITUTE OF TECHNOLOGY SILCHAR,1,1,0
R V.R & J.C COLLEGE OF ENGINEERING,1,0,1
DVR & DR. HS MIC COLLEGE OF TECHNOLOGY,1,1,0
GITAM UNIVERSITY BENGALURU,1,0,1
ICFAI FOUNDATION FOR HIGHER EDUCATION,9,8,1
ICFAI UNIVERSITY,18,13,5
ICFAI,3,1,2
ICFAI UNIVERSITY HYDERABAD,4,4,0
MALLAREDDY ENGINEERING COLLEGE AND MANAGEMENT SCIENCES,1,0,1
SATHAVAHANA UNIVERSITY ALPHORSE WOMEN’S DEGREE AND PG COLLAGE,1,0,1
OTHERS,1,0,1
SMCE,1,0,1
SVHU - SATAVAHANA UNIVERSITY,1,0,1
SREENIDHI UNIVERSITY,1,0,1
KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY WOMEN'S,1,0,1
KAKINADA INSTITUTION OF EDUCATION AND TECHNOLOGY,2,0,2
ALPHORES WOMEN'S DEGREE &PG COLLEGE KARIMNAGAR,1,0,1
"GITAM UNIVERSITY, BENGALURU",1,1,0
ALPHORES WOMENS,1,0,1
MAHARAJA VIJAYARAM GAJAPATHIRAJ COLLEGE OF ENGINEERING,1,1,0
"BITS PILANI, HYDERABAD CAMPUS",1,1,0
ADITYA DEGREE COLLEGE FOR WOMEN,1,0,1
KAKINADA INSTITUTIONS OF ENGINEERING TECHNOLOGY WOMENS,1,0,1
RAJEEV GANDHI MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY- AUTONOMOUS,1,0,1
GODAVARI INSTITUTION OF ENGINEERING TECHNOLOGY,1,1,0
KAKINDA INSTITUTE OF ENGINEERING AND TECHNOLOGY FOR WOMEN'S,2,0,2
ICFAI-HYDERBABAD,1,1,0
ICFAI-HYDERABAD,1,0,1
KAKINADA INSTITUTE OF TECHNOLOGY AND ENGINEERING FOR WOMEN'S,1,0,1
CHAITANYA DEMMED TO BE UNIVERSITY,1,0,1
VIGNAN INSTITUTE OF TECHNOLOGY,1,0,1
ICFAI TECH,2,0,2
KAKINADA INSTITUE OF ENGINEERING AND TECHNOLOGY,1,0,1
CONCORDIA UNIVERSITY,1,0,1
KIET COLLEGE,1,0,1
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES, ONGOLE CAMPUS",1,1,0
INDIAN INSTITUTE OF TECHNOLOGY BHUBANESWAR,1,0,1
CR RAO ADVANCED INSTITUTE OF MATHEMATICS AND STATISTICS,1,0,1
"G PULLA REDDY ENGINEERING COLLEGE, KURNOOL",1,0,1
"C.R.RAO ADVANCED INSTITUTE OF MATHEMATICS, STATISTICS AND COMPUTER SCIENCE",2,1,1
"NATIONAL INSTITUTE OF TECHNOLOGY, AGARTALA",1,0,1
ICFAI TECH UNIVERSITY HYDERABAD,1,1,0
VIGNAN LARA,1,0,1
RVR & JC,2,0,2
RGMCET - RAJEEV GANDHI MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY,1,1,0
RVR &JC CE,1,0,1
SANDIP UNIVERSITY,1,1,0
KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY -WOMEN'S,1,0,1
KIET WOMENS,1,0,1
KAKINADA INSTIUTIONS OF ENGINEERING AND TECHNOLOGY FOR WOMENS,1,0,1
KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY WOMENS,1,0,1
KAKINADA INSTITUTES OF ENGINEERING AND TECHNOLOGY,1,0,1
INTERNATIONAL SCHOOL OF TECHNOLOGY AND SCIENCES FOR WOMEN,1,0,1
ST ANN'S COLLEGE OF ENGINEERING AND TECHNOLOGY IN CHIRALA,1,0,1
WESLEY PG COLLEGE,1,1,0
LAKIREDDY BALI REDDY COLLEGE OF ENGINNERING,1,1,0
"MAHATMA BASAVESHWAR EDUCATION SOCIETY'S COLLEGE OF ENGINEERING, AMBAJOGAI",1,0,1
VISHWA VISHWANI INSTITUTE OF SYSTEMS AND MANAGEMENT,3,1,2
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGIES,SRIKAKULAM",1,1,0
SRM UNIVERSITY OF KATTANKULATHUR CAMPUS,1,0,1
VASIREDDY VENKATADRI INSTITUTE OF TECHNOLOGY ECHNOLOGY,1,0,1
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES RK VALLEY,1,1,0
"VELLORE INSTITUTE OF TECHNOLOGY, AP",2,0,2
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES, ANDHRA PRADESH",1,1,0
SASI INSTITUTE OF ENGINEERING AND TECHNOLOGY,1,0,1
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES, ONGOLE",1,0,1
BHAGWANT UNIVERSITY,1,1,0
"VELLORE INSTITUTE OF TECHNOLOGY,AP",1,0,1
GAYATRI VIDYA PARISHAD COLLEGE OF ENGINEERING FOR WOMEN,1,0,1
JNTUA,1,0,1
JNTUA COLLEGE OF ENGINEERING KALIKIRI,1,1,0
"RVR & JC COLLEGE OF ENGINEERING,GUNTUR",1,0,1
NISHITHA DEGREE & PG COLLEGE,1,0,1
VASSIREDDY VENKATADRI INSTITUTE OF TECHNOLOGY,1,0,1
"ASHOKA WOMEN'S ENGINEERING COLLEGE, KURNOOL",1,0,1
"MAHARAJ VIJAYARAM GAJAPATHI RAJ COLLEGE OF ENGINEERING, VIZIANAGARAM",1,0,1
BSKR - BHASKAR ENGINEERING COLLEGE,1,0,1
ICFAI TECH FOR HIGHER EDUCATION,1,1,0
SHRI VISHNU ENGINERRING COLLEGE FOR WOMEN,1,0,1
"IIT- INDIAN INSTITUTE OF TECHNOLOGY,DELHI",1,0,1
SEG - SREENIDHI UNIVERSITY,1,0,1
INSTITUTE OF AERONAUTICEL ENGINEERING,1,1,0
THE IHFE,1,0,1
NIT DURGAPUR,1,1,0
MRCW,1,0,1
"SRM UNIVERSITY, AP",1,0,1
IFHE,3,1,2
"SRM UNIVERSITY , AP",1,0,1
VVITU -VASIREDDY VENKATADRI INTERNATIONAL TECHNOLOGICAL UNIVERSITY,1,0,1
V.S.B ENGINEERING COLLEGE,1,1,0
SVCN : SREE VENKATESWARA COLLEGE OF ENGINEERING,1,1,0
MOTHER THERESA ENGINEERING COLLEGE,1,0,1
NARAYANA ENGENEERING COLLEGE,1,0,1
SREE VENKATESHWARA COLLEGE OF ENGINEERING,1,0,1
YSR ENGINEERING COLLEGE OF YOGI VEMMAN UNIVERSITY,1,1,0
MS RAMAIAH INSTITUTE OF TECHNOLOGY,1,1,0
MIC COLLEGE OF TECHNOLOGY,2,0,2
OUCTSF - O U COLLEGE OF TECH HYDERABAD - SELF FINANCE,1,0,1
"ICFAI UNIVERSITY, HYDERABAD",1,1,0
VIGNA'S INSTITUTE OF INFORMATION AND TECHNOLOGY,1,0,1
DR PAUL RAJ ENGINEERING COLLEGE/JNTUK,1,0,1
AMRITA VISHWA VIDYAPEETHAM,5,1,4
AMRITA UNIVERSITY,1,0,1
NISHITHA DEGREE AND PG COLLEGE,1,0,1
ANITS- ANIL NEERUKONDA INSTITUTE OF TECHNOLOGY AND SCIENCES,1,0,1
"CHANDIGARH COLLEGE OF ENGINEERING, MOHALI",1,1,0
"CHANDIGARH COLLEGE OF ENGINEERING, JHANJERI, MOHALI",1,0,1
AJEENKYA DY PATIL UNIVERSITY PUNE,1,1,0
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGIES-BASAR,1,1,0
ICREATE DEGREE COLLEGE KUKATPALLY,1,1,0
VISHWA VISHWANI INSTITUTE OF SYSTEM AND MANAGEMENT,1,0,1
RITHEESHTALLURI2@GMAIL.COM,1,1,0
ICFAI BUSINESS SCHOOL,1,1,0
DR. M.G.R. EDUCATIONAL AND RESEARCH INSTITUTE,1,1,0
K.K. COLLEGE OF ENGINEERING AND MANAGEMENT,1,0,1
DAVID MEMORIAL COLLEGE,1,0,1
KALINGA INSTITUTE OF INDUSTRIAL TECHNOLOGY,1,1,0
PRIYADARSHINI DEGREE COLLEGE,1,0,1
VELLORE INSTITUTION ON TECHNOLOGY AMRAVATI,1,0,1
GOVERNMENT POLYTECHNIC FOR WOMENS,1,0,1
HYDERABAD SCHOOL OF BUSINESS [OSMANIA UNIVERSITY],1,1,0
MOTILAL NEHRU NATIONAL INSTITUTE OF TECHNOLOGY ALLAHABAD,1,1,0
DR.MAHALINGAM COLLEGE OF ENGINEERING AND TECHNOLOGY,2,0,2
NEWTON SCHOOL OF TECHNOLOGY(RISHIHOOD UNIVERSITY),1,0,1
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES RKVALLEY,1,0,1
IFHE UNIVERSITY HYDERABAD,1,1,0
IFHE UNIVERSITY,1,1,0
RAJIV GANDHI UNIVERSITY OF KNOWLEGE TECHNOLOGIES BASAR,1,1,0
MALLA REDDY COLLEGE OF ENGINEERING AND TECHNOLOGY,1,0,1
SRGEC- SESHADRI RAO GUDLAVALLERU ENGINEERING COLLEGE,1,0,1
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGY NUZVID,1,0,1
ST.ANNS COLLEGE FOR WOMENS,1,1,0
SHIV NADAR UNIVERSITY,1,0,1
AMRITA VISHWA VIDYAPEETHAM MYSURU CAMPUS,1,1,0
JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY KAKINADA,1,1,0
MVGR - MAHARAJ VIJAYARAM GAJAPATHI RAJ COLLEGE OF ENGINEERING (AUTONOMOUS),2,0,2
KAKINADA INSTITUTE OF ENGINEERING & TECHNOLOGY FOR WOMEN,1,0,1
RAJEEV GANDHI MEMORIAL COLLAGE OF ENGINEERING AND TECHNOLOGY,1,0,1
"V.S.B. ENGINEERING COLLEGE,KARUR",1,1,0
SUBBALAKSHMI LAKSHMIPATHY COLLEGE OF SCIENCE,1,0,1
RAJIV GANDHI INSTITUTE OF PETROLEUM TECHNOLOGY,1,1,0
"NIZAM COLLEGE, OSMANIA UNIVERSITY",1,0,1
RAJEEV GANDHI INSTITUTE OF SCIENCE AND TECHNOLOGY,1,0,1
RAJEEV GANDHI MEMORIAL INSTITUTE OF TECHNOLOGY,1,0,1
RAJEEV GANDI MEMORIAL COLLAGE OF ENGINEERING AND TECHNOLOGY,1,0,1
CHAITANYA DEEMED UNIVERSITY,1,1,0
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY KOTTAYAM,1,1,0
ANDHRA UNIVERSITY COLLEGE OF ENGINEERING FOR WOMEN,3,0,3
RGUKT(IIIT)-SRIKAKULAM,1,0,1
MOTHER THERESSA COLLEGE OF ENGINEERING AND TECHNOLOGY,1,0,1
ANIL NEERUKONDA INSTITUTE OF TECHNOLOGY & SCIENCES,1,1,0
ST PAUL'S DEGREE CLG,1,0,1
NTTF,1,0,1
RTMNU,1,0,1
"SRM INSTITUTE OF SCIENCE AND TECHNOLOGY, CHENNAI, TAMIL NADU",1,0,1
AVN ENGINEERING INSTITUTE OF TECHNOLOGY,1,0,1
BONAM VENKATA CHALAMAYYA,1,0,1
"AMRITA VISHWA VIDYAPEETHAM, COIMBATORE",1,1,0
CCE,1,0,1
PRESIDENCY UNIVERSITY RAJANKUNTE,1,0,1
